,Average Mean Surface Air Temperature (°C)
1901,22.95
1902,22.83
1903,22.84
1904,22.7
1905,22.73
1906,22.75
1907,22.59
1908,22.83
1909,22.43
1910,22.72
1911,22.71
1912,22.32
1913,22.36
1914,22.66
1915,22.66
1916,22.36
1917,22.36
1918,22.44
1919,22.67
1920,22.35
1921,22.69
1922,22.78
1923,22.6
1924,23.16
1925,22.85
1926,22.8
1927,22.88
1928,23.17
1929,22.5
1930,22.38
1931,22.79
1932,22.58
1933,22.82
1934,22.66
1935,22.69
1936,22.75
1937,22.78
1938,22.69
1939,22.97
1940,23.05
1941,22.77
1942,22.69
1943,22.36
1944,22.6
1945,22.47
1946,22.54
1947,22.64
1948,22.34
1949,22.25
1950,22.26
1951,22.54
1952,22.82
1953,23.02
1954,23.02
1955,23.22
1956,22.51
1957,22.53
1958,22.86
1959,22.66
1960,22.6
1961,22.26
1962,22.41
1963,22.63
1964,22.15
1965,22.59
1966,22.71
1967,22.08
1968,22.16
1969,22.85
1970,22.77
1971,22.31
1972,22.78
1973,23.2
1974,22.55
1975,22.59
1976,22.9
1977,22.85
1978,22.98
1979,23.09
1980,23.37
1981,22.69
1982,22.86
1983,23.01
1984,22.99
1985,22.81
1986,22.98
1987,23.16
1988,22.91
1989,22.44
1990,23.07
1991,23.06
1992,22.73
1993,22.87
1994,22.88
1995,23.03
1996,23.14
1997,23.12
1998,23.4
1999,22.96
2000,23.22
2001,23.33
2002,23.7
2003,23.46
2004,23.46
2005,23.53
2006,23.44
2007,23.31
2008,23.27
2009,23.92
2010,23.69
2011,23.47
2012,23.41
2013,23.73
2014,23.5
2015,23.92
2016,23.93
2017,23.62
2018,23.32
2019,23.41
2020,23.3
2021,23.41
2022,23.48
2023,23.75
2024,24.17